LeftGene	LeftChrom	Hg19_LeftBreakpointCoord	RightGene	RightChrom	Hg19_RightBreakpointCoord	FusionName	SourceDataset	FastaDescription	Hg38_LeftBreakpoint	Hg38_RightBreakpoint	sample	fusion_id	num_reads
ANKK1	chr11	113268738	MYH6	chr14	23872655	ANKK1--MYH6	sim_testis.fusion_transcripts	ANKK1|ENSG00000170209.4--MYH6|ENSG00000197616.7 ANKK1|ENST00000303941.3--MYH6|ENST00000356287.3 chr11:113258513-113258791,113264203-113264497,113265651-113265802,113266081-113266130,113266789-113266944,113267946-113268064,113268702-113268738[+] chr14:23872655-23872557,23872009-23871906,23871811-23871673,23870186-23869918,23869635-23869465,23868246-23867937,23866822-23866752,23866466-23866379,23866289-23866172,23866026-23865903,23865629-23865493,23863532-23863277,23863117-23862875,23862727-23862551,23862266-23862121,23861861-23861771,23859655-23859266,23858928-23858802,23858720-23858602,23858264-23858068,23857547-23857364,23857132-23856967,23856862-23856738,23855832-23855524,23855340-23855137,23854250-23854125,23853926-23853651,23852529-23852434,23851771-23851637,23851272-23851228[-] FusedAt:1088	chr11:113398016	chr14:23403446	Pac_85	ANKK1|ENSG00000170209.4--MYH6|ENSG00000197616.7	5
GSTM1	chr1	110233186	AP1S2	chrX	15864134	GSTM1--AP1S2	sim_adipose.fusion_transcripts	GSTM1|ENSG00000134184.8--AP1S2|ENSG00000182287.9 GSTM1|ENST00000309851.5--AP1S2|ENST00000452376.1 chr1:110230442-110230531,110230792-110230867,110231295-110231359,110231670-110231751,110231847-110231947,110232893-110232988,110233076-110233186[+] chrX:15864134-15864026,15863639-15863502,15858714-15858620,15845495-15845015[-] FusedAt:621	chr1:109690564	chrX:15846011	Pac_85	GSTM1|ENSG00000134184.8--AP1S2|ENSG00000182287.9	4
CSNK2B	chr6	31636431	MMP2	chr16	55532201	CSNK2B--MMP2	sim_adipose.fusion_transcripts	CSNK2B|ENSG00000204435.9--MMP2|ENSG00000087245.8 CSNK2B|ENST00000375885.4--MMP2|ENST00000570283.1 chr6:31633013-31633270,31634598-31634680,31635645-31635747,31636316-31636431[+] chr16:55532201-55532360,55536691-55536801[+] FusedAt:560	chr6:31668654	chr16:55498289	Pac_85	CSNK2B|ENSG00000204435.9--MMP2|ENSG00000087245.8	4
NFKBIE	chr6	44229363	BBS12	chr4	123663038	NFKBIE--BBS12	sim_heart.fusion_transcripts	NFKBIE|ENSG00000146232.10--BBS12|ENSG00000181004.5 NFKBIE|ENST00000477930.2--BBS12|ENST00000542236.1 chr6:44233330-44232719,44229585-44229363[-] chr4:123663038-123666097[+] FusedAt:835	chr6:44261626	chr4:122741883	Pac_85	NFKBIE|ENSG00000146232.10--BBS12|ENSG00000181004.5	4
FABP9	chr8	82373686	LXN	chr3	158386921	FABP9--LXN	sim_colon.fusion_transcripts	FABP9|ENSG00000205186.2--LXN|ENSG00000079257.3 FABP9|ENST00000379071.2--LXN|ENST00000482640.1 chr8:82373814-82373686[-] chr3:158386921-158386785,158384863-158384801,158363998-158363611[-] FusedAt:129	chr8:81461451	chr3:158669132	Pac_85	FABP9|ENSG00000205186.2--LXN|ENSG00000079257.3	4
SULT2A1	chr19	48382293	STON1	chr2	48818792	SULT2A1--STON1	sim_heart.fusion_transcripts	SULT2A1|ENSG00000105398.3--STON1|ENSG00000243244.1 SULT2A1|ENST00000222002.3--STON1|ENST00000309835.3 chr19:48389654-48389379,48387042-48386834,48385467-48385341,48382387-48382293[-] chr2:48818792-48818994,48822367-48826025[+] FusedAt:707	chr19:47879036	chr2:48591653	Pac_85	SULT2A1|ENSG00000105398.3--STON1|ENSG00000243244.1	4
CST11	chr20	23433221	MFSD2A	chr1	40432483	CST11--MFSD2A	sim_testis.fusion_transcripts	CST11|ENSG00000125831.5--MFSD2A|ENSG00000168389.13 CST11|ENST00000377009.3--MFSD2A|ENST00000372809.5 chr20:23433482-23433221[-] chr1:40432483-40432604,40432758-40432841,40433300-40433383,40433476-40433588,40434006-40434149,40434241-40434417,40435177-40435638[+] FusedAt:262	chr20:23452584	chr1:39966811	Pac_85	CST11|ENSG00000125831.5--MFSD2A|ENSG00000168389.13	4
CGRRF1	chr14	54976781	CYB561	chr17	61513152	CGRRF1--CYB561	sim_brain.fusion_transcripts	CGRRF1|ENSG00000100532.7--CYB561|ENSG00000008283.11 CGRRF1|ENST00000557317.1--CYB561|ENST00000581573.1 chr14:54976624-54976781[+] chr17:61513152-61513049,61512604-61512447,61511955-61510577[-] FusedAt:158	chr14:54510063	chr17:63435791	Pac_85	CGRRF1|ENSG00000100532.7--CYB561|ENSG00000008283.11	4
SVOPL	chr7	138314794	FDXACB1	chr11	111746828	SVOPL--FDXACB1	sim_brain.fusion_transcripts	SVOPL|ENSG00000157703.11--FDXACB1|ENSG00000255561.2 SVOPL|ENST00000419765.3--FDXACB1|ENST00000528274.1 chr7:138363824-138363709,138363270-138363179,138356862-138356764,138347890-138347819,138344733-138344609,138341256-138341193,138333882-138333757,138329590-138329462,138314867-138314794[-] chr11:111746828-111746066[-] FusedAt:897	chr7:138630049	chr11:111876104	Pac_85	SVOPL|ENSG00000157703.11--FDXACB1|ENSG00000255561.2	4
SLC24A1	chr15	65918308	NDUFS4	chr5	52954381	SLC24A1--NDUFS4	sim_brain.fusion_transcripts	SLC24A1|ENSG00000074621.9--NDUFS4|ENSG00000164258.7 SLC24A1|ENST00000544319.2--NDUFS4|ENST00000296684.5 chr15:65914347-65914430,65916293-65918308[+] chr5:52954381-52954454,52978948-52979168[+] FusedAt:2100	chr15:65625970	chr5:53658551	Pac_85	SLC24A1|ENSG00000074621.9--NDUFS4|ENSG00000164258.7	4
ZFYVE9	chr1	52740256	CCPG1	chr15	55657507	ZFYVE9--CCPG1	sim_heart.fusion_transcripts	ZFYVE9|ENSG00000157077.10--CCPG1|ENSG00000260916.1 ZFYVE9|ENST00000287727.3--CCPG1|ENST00000569205.1 chr1:52608046-52608075,52682041-52682146,52698843-52698948,52703160-52705267,52729445-52729544,52732327-52732503,52734135-52734304,52740136-52740256[+] chr15:55657507-55657386,55653142-55651216[-] FusedAt:2918	chr1:52274584	chr15:55365309	Pac_85	ZFYVE9|ENSG00000157077.10--CCPG1|ENSG00000260916.1	4
LYG1	chr2	99908999	GUCY1B3	chr4	156717529	LYG1--GUCY1B3	sim_adipose.fusion_transcripts	LYG1|ENSG00000144214.5--GUCY1B3|ENSG00000061918.8 LYG1|ENST00000308528.4--GUCY1B3|ENST00000502959.1 chr2:99917639-99917513,99915012-99914922,99912165-99912091,99909103-99908999[-] chr4:156717529-156717662,156721029-156721226,156723494-156723731,156724776-156724916,156725745-156725899,156726255-156726381,156727538-156727770[+] FusedAt:398	chr2:99292536	chr4:155796377	Pac_85	LYG1|ENSG00000144214.5--GUCY1B3|ENSG00000061918.8	4
TRNP1	chr1	27321103	GBA2	chr9	35738149	TRNP1--GBA2	sim_brain.fusion_transcripts	TRNP1|ENSG00000253368.3--GBA2|ENSG00000070610.10 TRNP1|ENST00000522111.2--GBA2|ENST00000378094.4 chr1:27320198-27321103[+] chr9:35738149-35738034,35737936-35737745,35737601-35736864[-] FusedAt:906	chr1:26994612	chr9:35738152	Pac_85	TRNP1|ENSG00000253368.3--GBA2|ENSG00000070610.10	4
ZNF506	chr19	19917751	PARK7	chr1	8029405	ZNF506--PARK7	sim_heart.fusion_transcripts	ZNF506|ENSG00000081665.9--PARK7|ENSG00000116288.8 ZNF506|ENST00000540806.2--PARK7|ENST00000377491.1 chr19:19932501-19932410,19917877-19917751[-] chr1:8029405-8029464,8030954-8031023,8037712-8037798,8044954-8045310[+] FusedAt:219	chr19:19806942	chr1:7969345	Pac_85	ZNF506|ENSG00000081665.9--PARK7|ENSG00000116288.8	4
DRGX	chr10	50594726	EPHA7	chr6	94124485	DRGX--EPHA7	sim_brain.fusion_transcripts	DRGX|ENSG00000165606.4--EPHA7|ENSG00000135333.9 DRGX|ENST00000434016.1--EPHA7|ENST00000369303.4 chr10:50599907-50599882,50599330-50599210,50598280-50598179,50594904-50594726[-] chr6:94124485-94124421,94120888-94120219,94068129-94067974,94066770-94066435,93982140-93982016,93979378-93979195,93974420-93974312,93973633-93973578,93969197-93969072,93968002-93967817,93967241-93967180,93965755-93965546,93964514-93964365,93956703-93956510,93955171-93955016,93953258-93949738[-] FusedAt:428	chr10:49386680	chr6:93414767	Pac_85	DRGX|ENSG00000165606.4--EPHA7|ENSG00000135333.9	4
RCHY1	chr4	76434030	FSD2	chr15	83449019	RCHY1--FSD2	sim_adipose.fusion_transcripts	RCHY1|ENSG00000163743.9--FSD2|ENSG00000186628.8 RCHY1|ENST00000505105.1--FSD2|ENST00000541889.1 chr4:76439522-76439407,76434506-76434387,76434145-76434030[-] chr15:83449019-83448997,83447639-83447518,83440980-83440825,83437782-83437632,83434783-83434650,83434050-83433918,83431030-83430854,83428352-83428026[-] FusedAt:352	chr4:75508820	chr15:82780267	Pac_85	RCHY1|ENSG00000163743.9--FSD2|ENSG00000186628.8	4
IGLL5	chr22	23230439	AKAP12	chr6	151669846	IGLL5--AKAP12	sim_testis.fusion_transcripts	IGLL5|ENSG00000254709.2--AKAP12|ENSG00000131016.12 IGLL5|ENST00000531372.1--AKAP12|ENST00000253332.1 chr22:23230009-23230439[+] chr6:151669846-151674887,151676862-151677908[+] FusedAt:431	chr22:22888259	chr6:151348711	Pac_85	IGLL5|ENSG00000254709.2--AKAP12|ENSG00000131016.12	4
CYB5B	chr16	69458760	SLC27A5	chr19	59010282	CYB5B--SLC27A5	sim_heart.fusion_transcripts	CYB5B|ENSG00000103018.12--SLC27A5|ENSG00000083807.5 CYB5B|ENST00000515314.1--SLC27A5|ENST00000594786.1 chr16:69458581-69458760[+] chr19:59010282-59010152,59010058-59009700[-] FusedAt:180	chr16:69424857	chr19:58498915	Pac_85	CYB5B|ENSG00000103018.12--SLC27A5|ENSG00000083807.5	3
DOCK9	chr13	99476652	PKN2	chr1	89225905	DOCK9--PKN2	sim_colon.fusion_transcripts	DOCK9|ENSG00000088387.13--PKN2|ENSG00000065243.14 DOCK9|ENST00000451563.1--PKN2|ENST00000370521.3 chr13:99481620-99481561,99479141-99479084,99476758-99476652[-] chr1:89225905-89226059,89236035-89236152,89237104-89237249,89237346-89237562,89250322-89250507,89251787-89251896,89270074-89270217,89270529-89270604,89271180-89271354,89271574-89271700,89272996-89273126,89273212-89273287,89273367-89273458,89279240-89279416,89287624-89287686,89289993-89290069,89294164-89294306,89298427-89298534,89298760-89298840,89298928-89301938[+] FusedAt:225	chr13:98824398	chr1:88760222	Pac_85	DOCK9|ENSG00000088387.13--PKN2|ENSG00000065243.14	3
ACOT6	chr14	74083896	TTC40	chr10	134646306	ACOT6--TTC40	sim_brain.fusion_transcripts	ACOT6|ENSG00000205669.2--TTC40|ENSG00000171811.8 ACOT6|ENST00000554229.1--TTC40|ENST00000448925.1 chr14:74077649-74077745,74078220-74078301,74083694-74083896[+] chr10:134646306-134646120[-] FusedAt:382	chr14:73617192	chr10:132832802	Pac_85	ACOT6|ENSG00000205669.2--TTC40|ENSG00000171811.8	3
VCY	chrY	16098219	PURG	chr8	30854213	VCY--PURG	sim_brain.fusion_transcripts	VCY|ENSG00000129864.6--PURG|ENSG00000172733.10 VCY|ENST00000250825.4--PURG|ENST00000339382.2 chrY:16098393-16098219[-] chr8:30854213-30853321[-] FusedAt:175	chrY:13986339	chr8:30996697	Pac_85	VCY|ENSG00000129864.6--PURG|ENSG00000172733.10	3
PCDH8	chr13	53419941	BTD	chr3	15676931	PCDH8--BTD	sim_adipose.fusion_transcripts	PCDH8|ENSG00000136099.9--BTD|ENSG00000169814.8 PCDH8|ENST00000377942.3--BTD|ENST00000449107.1 chr13:53422775-53419941[-] chr3:15676931-15677195,15683415-15683564,15685823-15687089[+] FusedAt:2835	chr13:52845806	chr3:15635424	Pac_85	PCDH8|ENSG00000136099.9--BTD|ENSG00000169814.8	3
GAN	chr16	81410933	FAU	chr11	64889011	GAN--FAU	sim_brain.fusion_transcripts	GAN|ENSG00000261609.3--FAU|ENSG00000149806.6 GAN|ENST00000568107.2--FAU|ENST00000525297.1 chr16:81348557-81348885,81385188-81385302,81388010-81388360,81390390-81390607,81391415-81391536,81396104-81396216,81397399-81397548,81398579-81398715,81398955-81399083,81410824-81410933[+] chr11:64889011-64888972,64888508-64888453,64888278-64888103[-] FusedAt:1774	chr16:81377328	chr11:65121539	Pac_85	GAN|ENSG00000261609.3--FAU|ENSG00000149806.6	3
CSMD1	chr8	3470798	EIF2S2	chr20	32677711	CSMD1--EIF2S2	sim_colon.fusion_transcripts	CSMD1|ENSG00000183117.13--EIF2S2|ENSG00000125977.6 CSMD1|ENST00000520002.1--EIF2S2|ENST00000374980.2 chr8:4852494-4851854,4495080-4494864,4277587-4277475,3889621-3889427,3855632-3855425,3611564-3611452,3566013-3565936,3474319-3474232,3470800-3470798[-] chr20:32677711-32676104[-] FusedAt:1656	chr8:3613276	chr20:34089905	Pac_85	CSMD1|ENSG00000183117.13--EIF2S2|ENSG00000125977.6	3
CAMK1D	chr10	12833232	ZNF217	chr20	52199707	CAMK1D--ZNF217	sim_brain.fusion_transcripts	CAMK1D|ENSG00000183049.8--ZNF217|ENSG00000171940.9 CAMK1D|ENST00000378847.3--ZNF217|ENST00000431687.1 chr10:12391481-12391909,12595224-12595355,12708735-12708809,12802947-12803085,12811672-12811798,12833157-12833232[+] chr20:52199707-52199081[-] FusedAt:978	chr10:12791233	chr20:53583168	Pac_85	CAMK1D|ENSG00000183049.8--ZNF217|ENSG00000171940.9	3
ANO4	chr12	101493498	CPNE8	chr12	39071356	ANO4--CPNE8	sim_colon.fusion_transcripts	ANO4|ENSG00000151572.12--CPNE8|ENSG00000139117.9 ANO4|ENST00000392979.3--CPNE8|ENST00000538596.2 chr12:101188585-101188805,101295424-101295618,101333093-101333229,101336155-101336313,101365084-101365184,101368623-101368667,101381317-101381448,101413812-101413918,101430873-101430928,101433733-101433854,101436112-101436246,101437317-101437413,101442119-101442179,101472971-101473053,101477456-101477596,101480438-101480602,101488034-101488070,101490314-101490425,101491429-101491486,101491626-101491723,101493356-101493498[+] chr12:39071356-39071254,39069576-39069519,39064604-39064531,39047872-39046160[-] FusedAt:2405	chr12:101099720	chr12:38677554	Pac_85	ANO4|ENSG00000151572.12--CPNE8|ENSG00000139117.9	3
BSND	chr1	55470789	TULP3	chr12	3039414	BSND--TULP3	sim_brain.fusion_transcripts	BSND|ENSG00000162399.6--TULP3|ENSG00000078246.11 BSND|ENST00000371265.4--TULP3|ENST00000448120.2 chr1:55464606-55465036,55470695-55470789[+] chr12:3039414-3039511,3040203-3040406,3042584-3042696,3043613-3043727,3046797-3046895,3047280-3047451,3048477-3050306[+] FusedAt:526	chr1:55005116	chr12:2930248	Pac_85	BSND|ENSG00000162399.6--TULP3|ENSG00000078246.11	3
LYRM5	chr12	25356941	OSM	chr22	30661133	LYRM5--OSM	sim_testis.fusion_transcripts	LYRM5|ENSG00000205707.6--OSM|ENSG00000099985.3 LYRM5|ENST00000556351.1--OSM|ENST00000403389.1 chr12:25348206-25348271,25356659-25356766,25356854-25356941[+] chr22:30661133-30660991,30660453-30659857[-] FusedAt:262	chr12:25204007	chr22:30265144	Pac_85	LYRM5|ENSG00000205707.6--OSM|ENSG00000099985.3	3
UBE2U	chr1	64698332	MYCT1	chr6	153042877	UBE2U--MYCT1	sim_brain.fusion_transcripts	UBE2U|ENSG00000177414.9--MYCT1|ENSG00000120279.6 UBE2U|ENST00000371077.5--MYCT1|ENST00000367245.5 chr1:64669310-64669799,64671322-64671403,64672447-64672539,64676425-64676522,64680498-64680615,64686542-64686590,64698244-64698332[+] chr6:153042877-153045702[+] FusedAt:1019	chr1:64232649	chr6:152721742	Pac_85	UBE2U|ENSG00000177414.9--MYCT1|ENSG00000120279.6	3
KLRF1	chr12	9980225	TTYH1	chr19	54933364	KLRF1--TTYH1	sim_adipose.fusion_transcripts	KLRF1|ENSG00000150045.7--TTYH1|ENSG00000167614.9 KLRF1|ENST00000354855.3--TTYH1|ENST00000425969.1 chr12:9980077-9980225[+] chr19:54933364-54933584,54937850-54937945[+] FusedAt:149	chr12:9827629	chr19:54422190	Pac_85	KLRF1|ENSG00000150045.7--TTYH1|ENSG00000167614.9	3
MAK	chr6	10803953	IL36A	chr2	113765409	MAK--IL36A	sim_heart.fusion_transcripts	MAK|ENSG00000111837.7--IL36A|ENSG00000136694.8 MAK|ENST00000354489.2--IL36A|ENST00000259211.6 chr6:10831110-10830781,10819173-10819119,10818204-10818083,10813956-10813877,10809175-10809043,10804124-10803953[-] chr2:113765409-113765621[+] FusedAt:892	chr6:10803720	chr2:113007832	Pac_85	MAK|ENSG00000111837.7--IL36A|ENSG00000136694.8	3
LRP1	chr12	57584792	ABHD5	chr3	43743707	LRP1--ABHD5	sim_colon.fusion_transcripts	LRP1|ENSG00000123384.9--ABHD5|ENSG00000011198.3 LRP1|ENST00000554118.1--ABHD5|ENST00000458276.2 chr12:57581152-57581239,57584588-57584792[+] chr3:43743707-43744079,43753201-43753355,43756439-43756550,43759163-43759349,43759935-43760541[+] FusedAt:293	chr12:57191009	chr3:43702215	Pac_85	LRP1|ENSG00000123384.9--ABHD5|ENSG00000011198.3	3
C8orf12	chr8	11295719	ARHGEF35	chr7	143885488	C8orf12--ARHGEF35	sim_brain.fusion_transcripts	C8orf12|ENSG00000184608.4--ARHGEF35|ENSG00000213214.3 C8orf12|ENST00000284481.3--ARHGEF35|ENST00000378115.2 chr8:11225911-11225961,11241322-11241510,11258575-11258674,11291429-11291644,11292339-11292611,11295549-11295719[+] chr7:143885488-143883176[-] FusedAt:1000	chr8:11438210	chr7:144188395	Pac_85	C8orf12|ENSG00000184608.4--ARHGEF35|ENSG00000213214.3	3
DOK6	chr18	67266734	SLC7A13	chr8	87235332	DOK6--SLC7A13	sim_testis.fusion_transcripts	DOK6|ENSG00000206052.6--SLC7A13|ENSG00000164893.4 DOK6|ENST00000382713.5--SLC7A13|ENST00000297524.3 chr18:67068291-67068546,67231723-67231830,67266620-67266734[+] chr8:87235332-87235201,87230060-87229699,87226875-87226281[-] FusedAt:479	chr18:69599498	chr8:86223103	Pac_85	DOK6|ENSG00000206052.6--SLC7A13|ENSG00000164893.4	3
LAMTOR4	chr7	99751140	ZFP36	chr19	39898383	LAMTOR4--ZFP36	sim_heart.fusion_transcripts	LAMTOR4|ENSG00000188186.6--ZFP36|ENSG00000128016.4 LAMTOR4|ENST00000341942.5--ZFP36|ENST00000597629.1 chr7:99746530-99746598,99747122-99747202,99751023-99751140[+] chr19:39898383-39900052[+] FusedAt:268	chr7:100153517	chr19:39407743	Pac_85	LAMTOR4|ENSG00000188186.6--ZFP36|ENSG00000128016.4	3
SPINK8	chr3	48351394	HIATL2	chr9	99711964	SPINK8--HIATL2	sim_heart.fusion_transcripts	SPINK8|ENSG00000229453.1--HIATL2|ENSG00000196312.7 SPINK8|ENST00000434006.1--HIATL2|ENST00000375223.4 chr3:48369831-48369765,48362564-48362515,48361108-48360987,48351436-48351394[-] chr9:99711964-99711837,99711202-99711193[-] FusedAt:282	chr3:48309904	chr9:96949682	Pac_85	SPINK8|ENSG00000229453.1--HIATL2|ENSG00000196312.7	3
CKMT1B	chr15	43888275	MAGEA12	chrX	151900875	CKMT1B--MAGEA12	sim_heart.fusion_transcripts	CKMT1B|ENSG00000237289.5--MAGEA12|ENSG00000213401.4 CKMT1B|ENST00000437534.1--MAGEA12|ENST00000393869.3 chr15:43886225-43886565,43887170-43887368,43887572-43887667,43888054-43888275[+] chrX:151900875-151899302[-] FusedAt:858	chr15:43596077	chrX:152736085	Pac_85	CKMT1B|ENSG00000237289.5--MAGEA12|ENSG00000213401.4	3
TLCD2	chr17	1613361	EFTUD1	chr15	82551496	TLCD2--EFTUD1	sim_adipose.fusion_transcripts	TLCD2|ENSG00000185561.8--EFTUD1|ENSG00000140598.9 TLCD2|ENST00000330676.6--EFTUD1|ENST00000561389.1 chr17:1613732-1613361[-] chr15:82551496-82551429,82533744-82533611,82532896-82532759,82530862-82530795[-] FusedAt:372	chr17:1710067	chr15:82259155	Pac_85	TLCD2|ENSG00000185561.8--EFTUD1|ENSG00000140598.9	3
FHDC1	chr4	153881802	IK	chr5	140032562	FHDC1--IK	sim_colon.fusion_transcripts	FHDC1|ENSG00000137460.4--IK|ENSG00000113141.11 FHDC1|ENST00000511601.1--IK|ENST00000502899.1 chr4:153857504-153857561,153864080-153864707,153874651-153874712,153875369-153875471,153881717-153881802[+] chr5:140032562-140032729,140033523-140033637,140034101-140034171,140034266-140034313[+] FusedAt:937	chr4:152960650	chr5:140652977	Pac_85	FHDC1|ENSG00000137460.4--IK|ENSG00000113141.11	3
OCM	chr7	5920581	C22orf43	chr22	23962802	OCM--C22orf43	sim_colon.fusion_transcripts	OCM|ENSG00000122543.6--C22orf43|ENSG00000189269.8 OCM|ENST00000242104.5--C22orf43|ENST00000317749.5 chr7:5920429-5920581[+] chr22:23962802-23962781,23961580-23961551,23959844-23959762,23959061-23959040,23956401-23956322,23955847-23955826,23955517-23955476,23950955-23950639[-] FusedAt:153	chr7:5880950	chr22:23620615	Pac_85	OCM|ENSG00000122543.6--C22orf43|ENSG00000189269.8	3
CAND1	chr12	67705580	DEFB106A	chr8	7686327	CAND1--DEFB106A	sim_brain.fusion_transcripts	CAND1|ENSG00000111530.8--DEFB106A|ENSG00000186579.2 CAND1|ENST00000544619.1--DEFB106A|ENST00000335186.2 chr12:67692752-67692875,67696103-67696395,67698385-67698461,67699323-67700377,67701177-67701272,67703681-67703850,67703932-67704096,67705473-67705580[+] chr8:7686327-7686575[+] FusedAt:2088	chr12:67311800	chr8:7828805	Pac_85	CAND1|ENSG00000111530.8--DEFB106A|ENSG00000186579.2	3
PCDHA6	chr5	140209278	NANS	chr9	100843098	PCDHA6--NANS	sim_colon.fusion_transcripts	PCDHA6|ENSG00000081842.13--NANS|ENSG00000095380.10 PCDHA6|ENST00000527624.1--NANS|ENST00000427646.1 chr5:140207650-140209278[+] chr9:100843098-100844448[+] FusedAt:1629	chr5:140829693	chr9:98080816	Pac_85	PCDHA6|ENSG00000081842.13--NANS|ENSG00000095380.10	3
CCNC	chr6	100009243	ANKDD1A	chr15	65226336	CCNC--ANKDD1A	sim_testis.fusion_transcripts	CCNC|ENSG00000112237.8--ANKDD1A|ENSG00000166839.12 CCNC|ENST00000369220.4--ANKDD1A|ENST00000395723.1 chr6:100016504-100016372,100010824-100010718,100009557-100009473,100009312-100009243[-] chr15:65226336-65226434,65234664-65234762,65235680-65235778,65239624-65239813,65242062-65242193,65249442-65249577[+] FusedAt:395	chr6:99561367	chr15:64934136	Pac_85	CCNC|ENSG00000112237.8--ANKDD1A|ENSG00000166839.12	3
PANX2	chr22	50617564	ATP6C	chr16	2570985	PANX2--ATP6C	sim_heart.fusion_transcripts	PANX2|ENSG00000073150.9--ATP6C|ENSG00000259784.1 PANX2|ENST00000159647.5--ATP6C|ENST00000569317.1 chr22:50609160-50609385,50615368-50616831,50617363-50617564[+] chr16:2570985-2571124,2577562-2577616,2577774-2577956[+] FusedAt:1892	chr22:50179135	chr16:2520984	Pac_85	PANX2|ENSG00000073150.9--ATP6C|ENSG00000259784.1	2
PDE4B	chr1	66831449	SLC25A41	chr19	6429842	PDE4B--SLC25A41	sim_colon.fusion_transcripts	PDE4B|ENSG00000184588.13--SLC25A41|ENSG00000181240.9 PDE4B|ENST00000341517.4--SLC25A41|ENST00000597558.1 chr1:66258864-66258931,66378928-66379039,66384280-66384518,66713143-66713337,66723330-66723366,66723476-66723546,66731721-66731770,66798191-66798303,66821210-66821303,66827298-66827476,66828851-66828949,66829090-66829254,66831350-66831449[+] chr19:6429842-6429735,6427512-6427345,6427261-6427114,6426572-6426313,6426166-6426048[-] FusedAt:1522	chr1:66365766	chr19:6429831	Pac_85	PDE4B|ENSG00000184588.13--SLC25A41|ENSG00000181240.9	2
HINT3	chr6	126293474	MANBA	chr4	103561014	HINT3--MANBA	sim_brain.fusion_transcripts	HINT3|ENSG00000111911.5--MANBA|ENSG00000109323.4 HINT3|ENST00000229633.5--MANBA|ENST00000226578.4 chr6:126277927-126278324,126288033-126288150,126293405-126293474[+] chr4:103561014-103560870,103557164-103557022,103556202-103555945,103553438-103553050[-] FusedAt:586	chr6:125972328	chr4:102639857	Pac_85	HINT3|ENSG00000111911.5--MANBA|ENSG00000109323.4	2
PTHLH	chr12	28116281	C20orf194	chr20	3305615	PTHLH--C20orf194	sim_testis.fusion_transcripts	PTHLH|ENSG00000087494.11--C20orf194|ENSG00000088854.11 PTHLH|ENST00000538310.1--C20orf194|ENST00000453730.2 chr12:28122427-28122327,28116703-28116281[-] chr20:3305615-3305539,3303343-3303299,3302909-3302864,3299047-3298936,3297440-3297370,3296432-3296382,3295767-3295680,3285190-3285087,3278822-3278676,3277596-3277508,3275275-3275174,3274902-3274785,3268436-3268278,3262412-3262287,3259595-3259558,3251208-3251073,3245170-3245084,3240674-3240568,3240200-3240126,3236857-3236652,3235930-3235865,3234465-3234372,3233330-3233026[-] FusedAt:524	chr12:27963348	chr20:3324968	Pac_85	PTHLH|ENSG00000087494.11--C20orf194|ENSG00000088854.11	2
PRDM6	chr5	122435656	IL18R1	chr2	102988413	PRDM6--IL18R1	sim_brain.fusion_transcripts	PRDM6|ENSG00000061455.10--IL18R1|ENSG00000115604.6 PRDM6|ENST00000434521.1--IL18R1|ENST00000409599.1 chr5:122435440-122435656[+] chr2:102988413-102988578,102992367-102992523,102998080-102998142,103001338-103001458,103003321-103003460,103006516-103006677,103010929-103011087,103012991-103015218[+] FusedAt:217	chr5:123099961	chr2:102371953	Pac_85	PRDM6|ENSG00000061455.10--IL18R1|ENSG00000115604.6	2
CLEC19A	chr16	19297261	AKR1A1	chr1	46032541	CLEC19A--AKR1A1	sim_brain.fusion_transcripts	CLEC19A|ENSG00000261210.1--AKR1A1|ENSG00000117448.9 CLEC19A|ENST00000465414.1--AKR1A1|ENST00000471651.1 chr16:19297101-19297261[+] chr1:46032541-46033260[+] FusedAt:161	chr16:19285939	chr1:45566869	Pac_85	CLEC19A|ENSG00000261210.1--AKR1A1|ENSG00000117448.9	2
ATP6V0D2	chr8	87151864	CXCR1	chr2	219029967	ATP6V0D2--CXCR1	sim_heart.fusion_transcripts	ATP6V0D2|ENSG00000147614.3--CXCR1|ENSG00000163464.7 ATP6V0D2|ENST00000285393.3--CXCR1|ENST00000295683.2 chr8:87111066-87111337,87125938-87126109,87151686-87151864[+] chr2:219029967-219027568[-] FusedAt:623	chr8:86139635	chr2:218165244	Pac_85	ATP6V0D2|ENSG00000147614.3--CXCR1|ENSG00000163464.7	2
C14orf80	chr14	105957859	FOXF1	chr16	86546531	C14orf80--FOXF1	sim_colon.fusion_transcripts	C14orf80|ENSG00000185347.13--FOXF1|ENSG00000103241.5 C14orf80|ENST00000354560.6--FOXF1|ENST00000262426.4 chr14:105957605-105957859[+] chr16:86546531-86548076[+] FusedAt:255	chr14:105491522	chr16:86512925	Pac_85	C14orf80|ENSG00000185347.13--FOXF1|ENSG00000103241.5	2
STARD8	chrX	67941588	ZCCHC24	chr10	81154196	STARD8--ZCCHC24	sim_brain.fusion_transcripts	STARD8|ENSG00000130052.9--ZCCHC24|ENSG00000165424.6 STARD8|ENST00000374597.3--ZCCHC24|ENST00000372333.3 chrX:67913493-67913668,67932756-67932827,67935136-67935217,67936210-67936273,67937054-67938471,67939067-67939240,67940106-67940265,67940766-67940964,67941378-67941588[+] chr10:81154196-81154032,81146214-81145793[-] FusedAt:2556	chrX:68721746	chr10:79394440	Pac_85	STARD8|ENSG00000130052.9--ZCCHC24|ENSG00000165424.6	2
